key,price,total_area,living_area,kitchen_area,land,floor_number,total_floors,year,bedrooms_number,passenger_lifts_number,cargo_lifts_number,material_type,balconies_number,loggias_number,lng,lat,underground
https://www.cian.ru/sale/flat/251633563/,20111652,97.2,63.7,12.5,0,14,22,2022,,2,1,monolith,,1,37.41926,55.631803,False
https://www.cian.ru/sale/flat/260566974/,28443000,49.9,,,0,3,8,2022,,2,1,monolith,,,37.5814036699734,55.7792186013148,True
https://www.cian.ru/sale/flat/255919415/,87733800,232.1,,,0,21,32,2020,,1,2,monolith,,,37.5591316355813,55.6570116558116,False
https://www.cian.ru/sale/flat/262942301/,10635934,22.5,10.0,6.3,0,6,33,2023,,1,1,monolith,,,37.5171219828031,55.760426775043,True
https://www.cian.ru/sale/flat/263173769/,14712600,35.03,,,0,8,55,2024,,,,monolith,,,37.6226208095079,55.8000719095502,True
https://www.cian.ru/sale/flat/259898830/,16650000,87.5,54.2,,0,4,13,2022,,2,,monolithBrick,,,37.321317,55.504664,False
https://odintsovo.cian.ru/sale/flat/260621679/,20818185,83.86,52.8,,0,7,9,2022,,1,1,monolith,1,,37.408049,55.685158,False
https://www.cian.ru/sale/flat/263135749/,26623839,79.9,63.2,7.1,0,7,12,2021,,1,1,monolith,,1,37.606568,55.707857,True
https://www.cian.ru/sale/flat/232199398/,21133478,79.2,43.6,22.3,0,12,25,2022,,1,1,monolith,,,37.4119946466502,55.8255052754712,False
https://www.cian.ru/sale/flat/255702131/,42039182,130.6,,,0,30,30,2021,,3,1,monolith,,,37.4787713214245,55.8794743494924,True
https://www.cian.ru/sale/flat/261018823/,11874860,35.8,13.2,13.1,0,6,9,2021,,,,monolith,,1,37.74908705591662,55.725807767000546,True
https://www.cian.ru/sale/flat/260522940/,26448514,81.34,34.0,31.7,0,21,49,2025,,,,monolith,,,37.5698167493043,55.8062024037605,True
https://www.cian.ru/sale/flat/254286976/,29400554,68.5,,,0,36,41,2021,,1,2,monolith,,,37.5093469008494,55.7430136211043,True
https://www.cian.ru/sale/flat/261623764/,178343916,198.25,112.2,15.4,0,10,10,2023,,,,monolith,2,,37.5183837186069,55.7320271370295,True
https://www.cian.ru/sale/flat/254955028/,231352941,207.0,,,0,4,5,2019,,,,brick,,,37.5895374169819,55.7487617544371,True
https://www.cian.ru/sale/flat/261079900/,16647066,61.5,27.0,17.6,0,19,23,2022,,,1,monolith,,,37.7506811435748,55.7267397730721,True
https://www.cian.ru/sale/flat/261880540/,23522380,49.21,12.8,20.5,0,7,13,2023,,2,2,monolith,,,37.4968559657342,55.7162311712908,False
https://www.cian.ru/sale/flat/262091356/,24603240,84.2,46.8,15.0,0,5,41,2024,,,4,monolith,,,37.5112592499843,55.7644364777214,True
https://www.cian.ru/sale/flat/260586087/,37058597,80.4,22.6,36.6,0,1,8,2021,,,,monolith,,,37.6130749877633,55.7137188498144,True
https://www.cian.ru/sale/flat/262522867/,62043240,139.8,73.5,20.6,0,5,12,2024,,1,1,monolith,,1,37.4824102363245,55.6923294098304,True
https://www.cian.ru/sale/flat/263232939/,479649618,365.4,345.4,,0,32,32,2023,,,,monolithBrick,,,37.525324,55.734334,False
https://www.cian.ru/sale/flat/263372378/,13504456,74.94,44.3,9.6,0,10,16,2022,,3,,monolith,,,37.455303741011,55.6331363622408,True
https://www.cian.ru/sale/flat/262664935/,29650000,96.66,64.0,10.2,0,11,20,2021,,,,monolith,,,37.4565769398091,55.8679748687916,False
https://www.cian.ru/sale/flat/261760536/,50389820,118.9,45.5,39.4,0,25,29,2024,,2,1,monolith,1,,37.4778676059202,55.6933787141724,False
https://domodedovo.cian.ru/sale/flat/263389438/,7021572,53.87,35.1,4.7,0,2,17,2023,,1,1,monolith,,,37.7398141109608,55.4960475949872,False
https://www.cian.ru/sale/flat/262100245/,10550000,41.8,16.0,9.0,0,3,18,2020,,1,1,,0,1,37.539329,55.893263,False
https://www.cian.ru/sale/flat/263504320/,108735000,133.0,95.0,18.0,0,2,4,1910,,,,brick,0,0,37.594971,55.759603,True
https://www.cian.ru/sale/flat/239156741/,72000000,70.8,,,0,8,13,,,,,monolithBrick,1,0,37.572288,55.727724,True
https://www.cian.ru/sale/flat/234470020/,3990000,274.0,,,0,2,7,2015,,,,,,,37.57139,55.721863,True
